"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.map.MapGetSmallBenchmark.containsEnumSet","avgt",1,20,1.240083,0.071383,"ns/op"
"benchmark.map.MapGetSmallBenchmark.containsHashSet","avgt",1,20,2.827006,0.102680,"ns/op"
"benchmark.map.MapGetSmallBenchmark.containsIntArraySet","avgt",1,20,3.100132,0.031838,"ns/op"
"benchmark.map.MapGetSmallBenchmark.containsIntHashSet","avgt",1,20,3.103474,0.032623,"ns/op"
"benchmark.map.MapGetSmallBenchmark.containsReferenceArraySet","avgt",1,20,3.344382,0.026773,"ns/op"
"benchmark.map.MapGetSmallBenchmark.containsReferenceHashSet","avgt",1,20,2.631564,0.038293,"ns/op"
