"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.set.SetContainsLargeBenchmark.containsEnumSet","avgt",1,20,1.704577,0.089517,"ns/op"
"benchmark.set.SetContainsLargeBenchmark.containsHashSet","avgt",1,20,2.357595,0.099039,"ns/op"
"benchmark.set.SetContainsLargeBenchmark.containsIntArraySet","avgt",1,20,284.949516,3.641470,"ns/op"
"benchmark.set.SetContainsLargeBenchmark.containsIntHashSet","avgt",1,20,1.640311,0.046009,"ns/op"
"benchmark.set.SetContainsLargeBenchmark.containsReferenceArraySet","avgt",1,20,284.752771,3.156643,"ns/op"
"benchmark.set.SetContainsLargeBenchmark.containsReferenceHashSet","avgt",1,20,2.127073,0.060362,"ns/op"
